"city_cn","year","city_code","city_invest","city_tech","city_edu","city_industry"
"北京",2003,"110100",73480.43,0.0146433547000201,0.134487781304492,0.615
"北京",2004,"110100",89827.56,0.0147616165907212,0.135134584530627,0.6
"北京",2005,"110100",105831.14,0.0148727491738254,0.137834951036151,0.6915
"北京",2006,"110100",129683.89,0.0540853609496137,0.161325820809354,0.7091
"北京",2007,"110100",164950.23,0.0550105325709458,0.159444518507188,0.7209
"北京",2008,"110100",195928.57,0.0572606639246129,0.161434190021394,0.7325
"北京",2009,"110100",231936.58,0.0544588525018348,0.157658485780898,0.7553
"北京",2010,"110100",271731.74,0.0658443507556386,0.165683810069446,0.7511
"北京",2011,"110100",324522.64,0.0564120888453268,0.160259327361567,0.7607
"北京",2012,"110100",368530.76,0.0542532731867484,0.17058304712475,0.7646
"北京",2013,"110100",417365.63,0.0562264794060785,0.163208815253906,0.7685
"北京",2014,"110100",452466.9,0.0624819185668609,0.164001852953222,0.7795
"北京",2015,"110100",573770.11,0.0501594619489677,0.14913035466417,0.7965
"北京",2016,"110100",640676.82,0.0446059528109664,0.138505931898707,0.8023
"北京",2017,"110100",682452.84,0.0530087910543386,0.141345796143218,0.8056
"北京",2018,"110100",747143.32,0.0569997734838879,0.137257066020479,0.8098
"北京",2019,"110100",740818.76,0.0585055378457209,0.153502754168914,0.8352
"北京",2020,"110100",677600,0.0606493506493506,0.16798835596222,0.8387
"北京",2021,"110100",720512.01,0.0623792516657703,0.159307448601724,0.8167
"北京",2022,"110100",746920,NA,NA,NA
"天津",2003,"120100",31207.71,0.0062164125467713,0.152463605948658,0.4546
"天津",2004,"120100",37502.12,0.00610632145596036,0.14772258208336,0.432
"天津",2005,"120100",44212.07,0.00633311220216561,0.152002383059649,0.4149
"天津",2006,"120100",54312.19,0.00609439611991341,0.150210845852469,0.4021
"天津",2007,"120100",67432.62,0.0331293667664107,0.163162576213115,0.4054
"天津",2008,"120100",86772.45,0.033017392040907,0.16329895030047,0.3794
"天津",2009,"120100",112427.78,0.030241636008467,0.154415750270974,0.4527
"天津",2010,"120100",137683.95,0.0314125212125306,0.166733159529488,0.4595
"天津",2011,"120100",179633.33,0.033496011013101,0.168300671150504,0.4616
"天津",2012,"120100",214321.25,0.0356707512670815,0.176720273887914,0.4699
"天津",2013,"120100",254920.61,0.0364074132727048,0.180980698265236,0.4805
"天津",2014,"120100",288469.93,0.0377855674593189,0.179223636931586,0.4934
"天津",2015,"120100",323235,0.0373783779603075,0.15698794994354,0.5215
"天津",2016,"120100",369943,0.033834942139735,0.13582906015251,0.5644
"天津",2017,"120100",328254,0.0353354414569206,0.132394426267464,0.5815
"天津",2018,"120100",310315.79,0.034377883252412,0.144431773839159,0.5862
"天津",2019,"120100",355570.52,0.0309165113013306,0.131515402345504,0.6346
"天津",2020,"120100",315135,0.0374982150506926,0.140546781538071,0.6439
"天津",2021,"120100",315255,0.0329796513933165,0.152018556406718,0.6126
