"IID","province","city","income","industry","education","gender","age","health","year","non_cognitive_score","cognitive_score","comprehensive_score"
"1101010002700002",110000,110100,16000,13,12,1,57,4,2016,3.63145206251774,3.20533365643567,3.57493921004508
"1101010003200003",110000,110100,24000,8,16,1,30,4,2014,3.43540023016741,2.35400523309089,3.01650023997706
"1101010003400002",110000,110100,48000,3,15,0,26,4,2014,3.45793507677147,2.93003076585247,3.17035790957867
"1101010005000001",110000,110100,60000,5,19,1,22,5,2014,3.41341703764876,2.40001016882767,3.2256246564826
"1101010005900001",110000,110100,24000,8,12,0,45,4,2014,2.84056902705541,2.35400523309089,2.54393351837842
"1101010005900001",110000,110100,42000,8,12,0,47,4,2016,3.63216883317405,2.66636788251167,3.29710586575728
"1101010010000001",110000,110100,60000,3,12,0,49,3,2014,3.39029418842916,3.00391848267389,3.1787090029634
"1101010010000001",110000,110100,60000,11,12,0,51,5,2016,3.98988834989131,3.03282450878959,3.58374166478664
"1101010010110001",110000,110100,240000,9,16,1,46,4,2014,3.60856413186334,2.99602323256257,3.41764575509367
"1101010010310002",110000,110100,12000,14,19,0,25,5,2014,3.57995457164661,2.40001016882767,3.29532109963445
"1101010012010001",110000,110100,50000,11,9,0,61,4,2016,4.41243091284023,2.07906169786827,3.55736753693833
"1101010012110001",110000,110100,72000,7,15,1,22,3,2014,3.56736129959622,2.38791145009522,3.21904307727448
"1101010012710001",110000,110100,10000,4,12,1,21,5,2014,3.64759545998892,3.03191783328561,3.35343901148847
"1101010013410001",110000,110100,72000,12,16,1,25,4,2014,2.96590372878614,2.38791145009522,2.57901524965751
"1101010014210001",110000,110100,40000,11,12,0,61,4,2016,3.99928322934369,2.66636788251167,3.35419437894429
"1101020000300002",110000,110100,2e+05,13,16,1,61,3,2014,3.59652453690491,2.40001016882767,3.46201940586983
"1101020000400001",110000,110100,60000,14,16,0,45,4,2014,3.64759545998892,2.40001016882767,3.02937292110654
"1101020000700001",110000,110100,150000,9,12,1,57,3,2014,3.60856413186334,3.54404941471242,2.87886521724527
"1101020001100001",110000,110100,1e+05,15,16,1,55,3,2014,3.19514709421458,2.99602323256257,3.08897707472358
"1101020001300001",110000,110100,60000,9,16,0,30,4,2014,3.39029418842916,3.03191783328561,3.48566560483365
"1101020001700002",110000,110100,1e+05,6,12,1,54,4,2014,3.60856413186334,2.66604058264597,3.33949366705578
"1101020002600001",110000,110100,140000,15,15,1,57,3,2014,3.35951110106434,3.57204876532415,3.28004387519652
"1101020002700001",110000,110100,1e+05,9,16,1,37,4,2014,3.35951110106434,2.99602323256257,2.90815936584626
"1101020002700002",110000,110100,1e+05,9,16,0,35,4,2014,2.7537819827014,2.07201590262979,2.7600787250555
"1101020003300001",110000,110100,150000,14,16,0,39,4,2014,3.46949650138127,2.71789410001182,3.22806763668678
"1101020003300002",110000,110100,150000,14,16,1,39,5,2014,3.0104197449023,2.71789410001182,2.88826829727837
"1101020004200002",110000,110100,120000,9,12,1,56,3,2014,3.80039804222888,2.99602323256257,3.30292591292668
"1101020004500001",110000,110100,80000,15,12,1,52,5,2014,3.21333690952901,2.71789410001182,3.05702939328461
"1101020004700001",110000,110100,90000,10,15,1,32,4,2014,3.38480747743203,2.07201590262979,2.85211474310074
"1101020005100002",110000,110100,2e+05,15,16,1,39,2,2014,2.56898114965235,2.07201590262979,2.24718394945388
"1101020005100003",110000,110100,2e+05,14,16,0,33,4,2014,3.1611243067375,2.66604058264597,2.8133412396156
"1101020005300002",110000,110100,250000,14,19,1,57,3,2014,3.17099239755439,3.57204876532415,3.04263472155842
"1101020006000002",110000,110100,2e+05,15,16,1,62,2,2014,3.55362634783833,2.66604058264597,3.34609446680137
"1101030000700001",110000,110100,30000,3,12,0,48,3,2014,3.22375665443131,3.57204876532415,3.15601565410799
"1101030003800001",110000,110100,80000,11,9,1,46,5,2014,3.20339533497534,2.37201081821595,2.83579438937732
"1101030003800003",110000,110100,35000,8,6,0,46,4,2014,3.41559056479685,3.21605514851454,3.09330067001062
"1101030004000001",110000,110100,30000,16,15,0,46,4,2014,3.37608106632264,3.03191783328561,2.90684718229249
"1101030005100003",110000,110100,28000,3,15,1,45,4,2014,3.57446786064948,2.07201590262979,3.34194656365165
"1101030006100001",110000,110100,34000,12,9,0,62,5,2014,4.1688188704063,3.54404941471242,3.2940448796929
"1101030006210001",110000,110100,60000,8,12,1,24,5,2014,2.98578687789347,3.54404941471242,2.8359575053441
"1101030006310001",110000,110100,140000,16,19,0,29,5,2014,3.59103782590778,3.57204876532415,3.67397610302961
"1101030007310001",110000,110100,120000,2,19,0,31,5,2014,3.16550568655726,2.40001016882767,3.37296069530707
"1101030007410001",110000,110100,130000,14,19,1,29,4,2014,3.20670851882438,3.57204876532415,2.84873966114271
"1101030007510001",110000,110100,10000,8,9,1,23,5,2014,3.18093397210805,2.38791145009522,2.90657015614903
"1101030007710001",110000,110100,30000,10,19,1,25,5,2014,3.22537650448744,3.03191783328561,3.1856351340166
"1101030008110002",110000,110100,36000,11,12,1,55,4,2014,3.83563599315024,3.54404941471242,3.26393074823301
"1101030008910001",110000,110100,20000,11,15,0,41,4,2014,3.80153972193638,2.66604058264597,3.68728722656157
"1102010000400001",110000,110100,50000,15,15,0,47,5,2014,3.57122816053722,3.57204876532415,3.40473993112955
"1102010000400001",110000,110100,10000,9,12,0,49,4,2016,3.62134041240905,2.87808322326999,2.90173842380845
"1102010001300001",110000,110100,60000,8,9,0,59,5,2014,3.23911145624533,2.38791145009522,2.72208171288361
"1102010001300003",110000,110100,10000,9,16,0,30,3,2016,2.8021597693593,2.67516757694126,2.75280220798388
"1102010001300004",110000,110100,1e+05,11,16,1,36,4,2016,3.79109050043118,3.56511781639156,3.19200123750887
"1102010001500001",110000,110100,20000,11,16,1,29,4,2014,3.16274415679363,3.03191783328561,3.32533707168492
